Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.030,0.136,0.133,0.100,CONa-CONa,-0.030085535,-0.135806549,-0.133178389,CONa
CONb,2,0.070,0.066,0.075,0.071,CONa-CONb,-0.070150194,-0.066122167,-0.075416148,CONa
CONc,3,0.012,0.030,0.030,0.024,CONa-CONc,-0.012433786,0.030152551,-0.030149966,CONa
DMNa,4,0.087,0.032,0.123,0.081,CONa-DMNa,-0.087206342,-0.032431544,-0.123080184,CONa
DMNb,5,0.146,0.045,0.166,0.119,CONa-DMNb,-0.146386639,-0.044895081,-0.166430343,CONa
DMNc,6,0.058,0.090,0.101,0.083,CONa-DMNc,0.058149605,-0.090049514,-0.101499828,CONa
DANa,7,0.050,0.060,0.034,0.048,CONa-DANa,-0.050085068,-0.059615351,-0.034121008,CONa
DANb,8,0.051,0.058,0.109,0.073,CONa-DANb,-0.050780867,-0.058220601,-0.10888447,CONa
LMN,9,0.059,0.111,0.134,0.101,CONa-LMN,-0.059128349,-0.111102815,-0.134192595,CONa
SVNa,10,0.003,0.007,0.099,0.037,CONa-SVNa,0.00349714,-0.007238807,-0.09882412,CONa
SVNb,11,0.014,0.028,0.024,0.022,CONa-SVNb,-0.01391646,0.028115851,-0.023601853,CONa
SMNa,12,0.067,0.067,0.039,0.057,CONa-SMNa,-0.066767437,-0.066748962,-0.03889567,CONa
SMNb,13,0.102,0.129,0.174,0.135,CONa-SMNb,-0.101874504,-0.129408797,-0.173837361,CONa
TempPar,14,0.069,0.055,0.173,0.099,CONa-TempPar,-0.068515261,-0.054611858,-0.173145983,CONa
VSNc,15,0.039,0.087,0.091,0.072,CONa-VSNc,-0.038708025,-0.08675057,-0.090775603,CONa
VSNp,16,0.037,0.111,0.049,0.066,CONa-VSNp,-0.036912973,-0.111203581,-0.048803532,CONa
Subcortical,17,0.015,0.069,0.033,0.039,CONa-Subcortical,-0.014859339,-0.06867185,-0.032813047,CONa
CONa,18,0.070,0.066,0.075,0.071,CONb-CONa,-0.070150194,-0.066122167,-0.075416148,CONb
CONb,19,0.186,0.207,0.089,0.160,CONb-CONb,-0.185505631,-0.207046414,-0.088640959,CONb
CONc,20,0.115,0.084,0.019,0.073,CONb-CONc,-0.114684756,-0.084083104,-0.018759135,CONb
DMNa,21,0.043,0.014,0.018,0.025,CONb-DMNa,-0.042723811,0.014224965,-0.017694184,CONb
DMNb,22,0.174,0.082,0.064,0.107,CONb-DMNb,-0.17417118,-0.08225373,-0.06383411,CONb
DMNc,23,0.104,0.025,0.071,0.067,CONb-DMNc,0.103952863,0.025384941,0.071194704,CONb
DANa,24,0.026,0.016,0.045,0.029,CONb-DANa,-0.025544504,0.016348777,0.044797706,CONb
DANb,25,0.079,0.023,0.013,0.038,CONb-DANb,-0.078546685,0.02262617,-0.013028804,CONb
LMN,26,0.054,0.008,0.021,0.028,CONb-LMN,-0.054324124,-0.008040723,0.020656202,CONb
SVNa,27,0.125,0.049,0.064,0.079,CONb-SVNa,-0.124653448,0.048761547,-0.064096237,CONb
SVNb,28,0.140,0.000,0.087,0.076,CONb-SVNb,-0.140271607,0.000344378,-0.087131669,CONb
SMNa,29,0.011,0.058,0.118,0.062,CONb-SMNa,0.010628027,0.057823795,0.117832478,CONb
SMNb,30,0.111,0.039,0.084,0.078,CONb-SMNb,-0.110768731,-0.038818374,-0.084367163,CONb
TempPar,31,0.099,0.053,0.117,0.090,CONb-TempPar,-0.099419772,-0.053419577,-0.116596713,CONb
VSNc,32,0.005,0.076,0.031,0.037,CONb-VSNc,0.004969942,-0.075668352,-0.031366361,CONb
VSNp,33,0.033,0.044,0.143,0.073,CONb-VSNp,0.033199937,-0.043906527,0.14276542,CONb
Subcortical,34,0.003,0.045,0.019,0.023,CONb-Subcortical,0.003493026,-0.045418536,0.019220116,CONb
CONa,35,0.012,0.030,0.030,0.024,CONc-CONa,-0.012433786,0.030152551,-0.030149966,CONc
CONb,36,0.115,0.084,0.019,0.073,CONc-CONb,-0.114684756,-0.084083104,-0.018759135,CONc
CONc,37,0.185,0.216,0.256,0.219,CONc-CONc,-0.18465769,-0.216415315,-0.255567046,CONc
DMNa,38,0.186,0.175,0.219,0.193,CONc-DMNa,-0.186272313,-0.174974889,-0.21876525,CONc
DMNb,39,0.220,0.135,0.198,0.184,CONc-DMNb,-0.220235178,-0.134888811,-0.197756261,CONc
DMNc,40,0.026,0.120,0.023,0.056,CONc-DMNc,0.025658289,-0.119721245,-0.023483051,CONc
DANa,41,0.005,0.068,0.052,0.042,CONc-DANa,-0.005265982,0.068296852,0.051902761,CONc
DANb,42,0.132,0.052,0.046,0.077,CONc-DANb,-0.131999179,0.0519829,-0.046212669,CONc
LMN,43,0.146,0.061,0.186,0.131,CONc-LMN,-0.145618795,-0.060871134,-0.186228108,CONc
SVNa,44,0.080,0.093,0.101,0.091,CONc-SVNa,-0.079652142,0.092788128,-0.101033893,CONc
SVNb,45,0.035,0.089,0.068,0.064,CONc-SVNb,-0.035420602,0.089369059,-0.068353078,CONc
SMNa,46,0.189,0.185,0.146,0.173,CONc-SMNa,0.188759561,0.184918982,0.146317116,CONc
SMNb,47,0.027,0.010,0.047,0.028,CONc-SMNb,-0.026885468,-0.009968352,-0.047430619,CONc
TempPar,48,0.121,0.038,0.150,0.103,CONc-TempPar,-0.120687687,0.037536405,-0.150233359,CONc
VSNc,49,0.050,0.076,0.035,0.054,CONc-VSNc,-0.04992028,-0.075841172,-0.035384105,CONc
VSNp,50,0.123,0.042,0.071,0.079,CONc-VSNp,0.122987053,-0.041669751,0.070953101,CONc
Subcortical,51,0.041,0.154,0.057,0.084,CONc-Subcortical,-0.041030954,-0.154335368,-0.056513266,CONc
