Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.050,0.060,0.034,0.048,DANa-CONa,-0.050085068,-0.059615351,-0.034121008,DANa
CONb,2,0.026,0.016,0.045,0.029,DANa-CONb,-0.025544504,0.016348777,0.044797706,DANa
CONc,3,0.005,0.068,0.052,0.042,DANa-CONc,-0.005265982,0.068296852,0.051902761,DANa
DMNa,4,0.018,0.020,0.054,0.031,DANa-DMNa,-0.01827484,0.01958747,-0.054215386,DANa
DMNb,5,0.113,0.076,0.232,0.140,DANa-DMNb,-0.113002264,-0.075950963,-0.231890995,DANa
DMNc,6,0.055,0.177,0.148,0.127,DANa-DMNc,-0.054663717,-0.177473861,-0.147803572,DANa
DANa,7,0.192,0.183,0.269,0.215,DANa-DANa,-0.191943126,-0.182678329,-0.269166526,DANa
DANb,8,0.094,0.114,0.194,0.134,DANa-DANb,-0.09438805,-0.113574331,-0.194149248,DANa
LMN,9,0.227,0.331,0.384,0.314,DANa-LMN,-0.227338912,-0.330759251,-0.383857188,DANa
SVNa,10,0.137,0.084,0.220,0.147,DANa-SVNa,-0.137423175,-0.084186145,-0.220283153,DANa
SVNb,11,0.076,0.022,0.051,0.050,DANa-SVNb,-0.075506704,0.022136149,-0.051396545,DANa
SMNa,12,0.187,0.105,0.287,0.193,DANa-SMNa,-0.186979938,-0.105459487,-0.287400048,DANa
SMNb,13,0.228,0.247,0.337,0.271,DANa-SMNb,-0.228487791,-0.247451378,-0.336510907,DANa
TempPar,14,0.146,0.031,0.239,0.138,DANa-TempPar,-0.145673797,-0.030528987,-0.239274397,DANa
VSNc,15,0.064,0.023,0.050,0.046,DANa-VSNc,-0.063505234,-0.023272289,-0.050433203,DANa
VSNp,16,0.154,0.190,0.150,0.165,DANa-VSNp,-0.154152941,-0.189877712,-0.150300519,DANa
Subcortical,17,0.030,0.149,0.102,0.094,DANa-Subcortical,-0.03042197,-0.149200579,-0.10232731,DANa
CONa,18,0.051,0.058,0.109,0.073,DANb-CONa,-0.050780867,-0.058220601,-0.10888447,DANb
CONb,19,0.079,0.023,0.013,0.038,DANb-CONb,-0.078546685,0.02262617,-0.013028804,DANb
CONc,20,0.132,0.052,0.046,0.077,DANb-CONc,-0.131999179,0.0519829,-0.046212669,DANb
DMNa,21,0.156,0.029,0.163,0.116,DANb-DMNa,-0.155989263,0.028786906,-0.163446388,DANb
DMNb,22,0.160,0.049,0.209,0.139,DANb-DMNb,-0.15953069,-0.048687031,-0.209120584,DANb
DMNc,23,0.175,0.188,0.225,0.196,DANb-DMNc,-0.175476191,-0.188226123,-0.224521977,DANb
DANa,24,0.094,0.114,0.194,0.134,DANb-DANa,-0.09438805,-0.113574331,-0.194149248,DANb
DANb,25,0.113,0.145,0.116,0.125,DANb-DANb,-0.112645874,-0.145425477,-0.116107364,DANb
LMN,26,0.270,0.365,0.353,0.330,DANb-LMN,-0.270427596,-0.365105007,-0.35340755,DANb
SVNa,27,0.128,0.206,0.108,0.147,DANb-SVNa,-0.127582645,-0.206315848,-0.108335449,DANb
SVNb,28,0.029,0.042,0.045,0.039,DANb-SVNb,-0.029367883,-0.041696137,0.045056133,DANb
SMNa,29,0.254,0.143,0.133,0.177,DANb-SMNa,-0.254239393,-0.143108886,-0.133334354,DANb
SMNb,30,0.260,0.289,0.242,0.264,DANb-SMNb,-0.259729214,-0.288580753,-0.242199563,DANb
TempPar,31,0.129,0.120,0.216,0.155,DANb-TempPar,-0.129142126,-0.119851163,-0.215595611,DANb
VSNc,32,0.040,0.015,0.010,0.022,DANb-VSNc,-0.04031202,0.015215019,-0.010061273,DANb
VSNp,33,0.225,0.160,0.152,0.179,DANb-VSNp,-0.22521947,-0.159980602,-0.152375731,DANb
Subcortical,34,0.089,0.153,0.128,0.123,DANb-Subcortical,-0.089253752,-0.152961219,-0.128081955,DANb
