Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.087,0.032,0.123,0.081,DMNa-CONa,-0.087206342,-0.032431544,-0.123080184,DMNa
CONb,2,0.043,0.014,0.018,0.025,DMNa-CONb,-0.042723811,0.014224965,-0.017694184,DMNa
CONc,3,0.186,0.175,0.219,0.193,DMNa-CONc,-0.186272313,-0.174974889,-0.21876525,DMNa
DMNa,4,0.057,0.202,0.054,0.105,DMNa-DMNa,-0.057374171,-0.202349569,-0.05431464,DMNa
DMNb,5,0.110,0.002,0.008,0.040,DMNa-DMNb,-0.110070676,0.00205626,-0.007655796,DMNa
DMNc,6,0.117,0.150,0.039,0.102,DMNa-DMNc,0.116648922,-0.149612888,-0.039166935,DMNa
DANa,7,0.018,0.020,0.054,0.031,DMNa-DANa,-0.01827484,0.01958747,-0.054215386,DMNa
DANb,8,0.156,0.029,0.163,0.116,DMNa-DANb,-0.155989263,0.028786906,-0.163446388,DMNa
LMN,9,0.056,0.115,0.021,0.064,DMNa-LMN,0.056111694,0.114961568,0.020918867,DMNa
SVNa,10,0.274,0.096,0.176,0.182,DMNa-SVNa,-0.273675432,0.096074939,-0.175588718,DMNa
SVNb,11,0.219,0.109,0.156,0.161,DMNa-SVNb,-0.218821716,0.108748522,-0.156387157,DMNa
SMNa,12,0.127,0.084,0.053,0.088,DMNa-SMNa,0.127041676,0.084111347,0.052794591,DMNa
SMNb,13,0.168,0.085,0.189,0.147,DMNa-SMNb,-0.167771133,-0.08469601,-0.188644728,DMNa
TempPar,14,0.198,0.029,0.157,0.128,DMNa-TempPar,-0.197772932,0.028514677,-0.157144308,DMNa
VSNc,15,0.078,0.056,0.008,0.048,DMNa-VSNc,0.07825189,-0.056081215,-0.008497461,DMNa
VSNp,16,0.207,0.051,0.065,0.108,DMNa-VSNp,0.206845287,-0.050636811,0.065295184,DMNa
Subcortical,17,0.051,0.124,0.001,0.059,DMNa-Subcortical,0.050544662,-0.124333896,0.000723009,DMNa
CONa,18,0.146,0.045,0.166,0.119,DMNb-CONa,-0.146386639,-0.044895081,-0.166430343,DMNb
CONb,19,0.174,0.082,0.064,0.107,DMNb-CONb,-0.17417118,-0.08225373,-0.06383411,DMNb
CONc,20,0.220,0.135,0.198,0.184,DMNb-CONc,-0.220235178,-0.134888811,-0.197756261,DMNb
DMNa,21,0.110,0.002,0.008,0.040,DMNb-DMNa,-0.110070676,0.00205626,-0.007655796,DMNb
DMNb,22,0.159,0.106,0.053,0.106,DMNb-DMNb,-0.158872134,-0.105639917,-0.053076684,DMNb
DMNc,23,0.051,0.084,0.089,0.075,DMNb-DMNc,-0.050874959,-0.084216874,-0.088882658,DMNb
DANa,24,0.113,0.076,0.232,0.140,DMNb-DANa,-0.113002264,-0.075950963,-0.231890995,DMNb
DANb,25,0.160,0.049,0.209,0.139,DMNb-DANb,-0.15953069,-0.048687031,-0.209120584,DMNb
LMN,26,0.040,0.032,0.107,0.060,DMNb-LMN,-0.040043021,-0.03167165,-0.107024914,DMNb
SVNa,27,0.258,0.017,0.200,0.158,DMNb-SVNa,-0.257968768,-0.017361315,-0.199707655,DMNb
SVNb,28,0.222,0.047,0.178,0.149,DMNb-SVNb,-0.221631144,-0.04746589,-0.177822918,DMNb
SMNa,29,0.067,0.089,0.149,0.102,DMNb-SMNa,-0.066967451,-0.089451531,-0.149220137,DMNb
SMNb,30,0.249,0.141,0.283,0.225,DMNb-SMNb,-0.248936768,-0.141357809,-0.283393072,DMNb
TempPar,31,0.172,0.108,0.184,0.155,DMNb-TempPar,-0.172486192,-0.107728516,-0.183518354,DMNb
VSNc,32,0.037,0.129,0.104,0.090,DMNb-VSNc,-0.037216907,-0.129050553,-0.104314873,DMNb
VSNp,33,0.021,0.122,0.039,0.061,DMNb-VSNp,0.02078693,-0.122485799,-0.039089314,DMNb
Subcortical,34,0.014,0.109,0.043,0.055,DMNb-Subcortical,0.013766062,-0.108796769,-0.042990465,DMNb
CONa,35,0.058,0.090,0.101,0.083,DMNc-CONa,0.058149605,-0.090049514,-0.101499828,DMNc
CONb,36,0.104,0.025,0.071,0.067,DMNc-CONb,0.103952863,0.025384941,0.071194704,DMNc
CONc,37,0.026,0.120,0.023,0.056,DMNc-CONc,0.025658289,-0.119721245,-0.023483051,DMNc
DMNa,38,0.117,0.150,0.039,0.102,DMNc-DMNa,0.116648922,-0.149612888,-0.039166935,DMNc
DMNb,39,0.051,0.084,0.089,0.075,DMNc-DMNb,-0.050874959,-0.084216874,-0.088882658,DMNc
DMNc,40,0.132,0.221,0.131,0.162,DMNc-DMNc,0.132220441,-0.220937138,-0.131402818,DMNc
DANa,41,0.055,0.177,0.148,0.127,DMNc-DANa,-0.054663717,-0.177473861,-0.147803572,DMNc
DANb,42,0.175,0.188,0.225,0.196,DMNc-DANb,-0.175476191,-0.188226123,-0.224521977,DMNc
LMN,43,0.012,0.035,0.109,0.052,DMNc-LMN,0.012094194,-0.035245834,-0.109178779,DMNc
SVNa,44,0.157,0.050,0.196,0.134,DMNc-SVNa,-0.156792885,-0.050083478,-0.195591297,DMNc
