Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.059,0.111,0.134,0.101,LMN-CONa,-0.059128349,-0.111102815,-0.134192595,LMN
CONb,2,0.054,0.008,0.021,0.028,LMN-CONb,-0.054324124,-0.008040723,0.020656202,LMN
CONc,3,0.146,0.061,0.186,0.131,LMN-CONc,-0.145618795,-0.060871134,-0.186228108,LMN
DMNa,4,0.056,0.115,0.021,0.064,LMN-DMNa,0.056111694,0.114961568,0.020918867,LMN
DMNb,5,0.040,0.032,0.107,0.060,LMN-DMNb,-0.040043021,-0.03167165,-0.107024914,LMN
DMNc,6,0.012,0.035,0.109,0.052,LMN-DMNc,0.012094194,-0.035245834,-0.109178779,LMN
DANa,7,0.227,0.331,0.384,0.314,LMN-DANa,-0.227338912,-0.330759251,-0.383857188,LMN
DANb,8,0.270,0.365,0.353,0.330,LMN-DANb,-0.270427596,-0.365105007,-0.35340755,LMN
LMN,9,0.278,0.446,0.237,0.320,LMN-LMN,-0.277552969,-0.446212715,-0.237140321,LMN
SVNa,10,0.299,0.323,0.419,0.347,LMN-SVNa,-0.298624444,-0.32275377,-0.418876856,LMN
SVNb,11,0.131,0.136,0.259,0.176,LMN-SVNb,-0.131374177,-0.136368429,-0.258823256,LMN
SMNa,12,0.267,0.487,0.439,0.397,LMN-SMNa,-0.267011033,-0.486588536,-0.438730503,LMN
SMNb,13,0.315,0.382,0.467,0.388,LMN-SMNb,-0.314648259,-0.382285955,-0.466908896,LMN
TempPar,14,0.158,0.256,0.490,0.302,LMN-TempPar,-0.158206023,-0.256226559,-0.490295651,LMN
VSNc,15,0.189,0.242,0.205,0.212,LMN-VSNc,-0.189292394,-0.242487628,-0.205211069,LMN
VSNp,16,0.019,0.151,0.157,0.109,LMN-VSNp,-0.019125883,-0.151444601,-0.157225242,LMN
Subcortical,17,0.104,0.195,0.149,0.149,LMN-Subcortical,-0.103562241,-0.19465271,-0.148662589,LMN
