Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.067,0.067,0.039,0.057,SMNa-CONa,-0.066767437,-0.066748962,-0.03889567,SMNa
CONb,2,0.011,0.058,0.118,0.062,SMNa-CONb,0.010628027,0.057823795,0.117832478,SMNa
CONc,3,0.189,0.185,0.146,0.173,SMNa-CONc,0.188759561,0.184918982,0.146317116,SMNa
DMNa,4,0.127,0.084,0.053,0.088,SMNa-DMNa,0.127041676,0.084111347,0.052794591,SMNa
DMNb,5,0.067,0.089,0.149,0.102,SMNa-DMNb,-0.066967451,-0.089451531,-0.149220137,SMNa
DMNc,6,0.099,0.163,0.197,0.153,SMNa-DMNc,-0.09917826,-0.162731482,-0.19676271,SMNa
DANa,7,0.187,0.105,0.287,0.193,SMNa-DANa,-0.186979938,-0.105459487,-0.287400048,SMNa
DANb,8,0.254,0.143,0.133,0.177,SMNa-DANb,-0.254239393,-0.143108886,-0.133334354,SMNa
LMN,9,0.267,0.487,0.439,0.397,SMNa-LMN,-0.267011033,-0.486588536,-0.438730503,SMNa
SVNa,10,0.284,0.186,0.148,0.206,SMNa-SVNa,-0.284182133,-0.186273698,-0.148325373,SMNa
SVNb,11,0.046,0.009,0.160,0.071,SMNa-SVNb,0.045729619,0.008516218,0.160186062,SMNa
SMNa,12,0.168,0.255,0.389,0.270,SMNa-SMNa,-0.168144428,-0.254599044,-0.388591565,SMNa
SMNb,13,0.492,0.524,0.517,0.511,SMNa-SMNb,-0.491718707,-0.52374746,-0.517155648,SMNa
TempPar,14,0.403,0.232,0.372,0.336,SMNa-TempPar,-0.403104531,-0.231542709,-0.371976604,SMNa
VSNc,15,0.064,0.070,0.047,0.060,SMNa-VSNc,-0.064080344,0.06971704,0.046830904,SMNa
VSNp,16,0.270,0.226,0.191,0.229,SMNa-VSNp,-0.269867992,-0.225820115,-0.19121354,SMNa
Subcortical,17,0.029,0.246,0.192,0.156,SMNa-Subcortical,-0.028717639,-0.246497177,-0.191828173,SMNa
CONa,18,0.102,0.129,0.174,0.135,SMNb-CONa,-0.101874504,-0.129408797,-0.173837361,SMNb
CONb,19,0.111,0.039,0.084,0.078,SMNb-CONb,-0.110768731,-0.038818374,-0.084367163,SMNb
CONc,20,0.027,0.010,0.047,0.028,SMNb-CONc,-0.026885468,-0.009968352,-0.047430619,SMNb
DMNa,21,0.168,0.085,0.189,0.147,SMNb-DMNa,-0.167771133,-0.08469601,-0.188644728,SMNb
DMNb,22,0.249,0.141,0.283,0.225,SMNb-DMNb,-0.248936768,-0.141357809,-0.283393072,SMNb
DMNc,23,0.184,0.232,0.270,0.228,SMNb-DMNc,-0.183531948,-0.231551408,-0.269655169,SMNb
DANa,24,0.228,0.247,0.337,0.271,SMNb-DANa,-0.228487791,-0.247451378,-0.336510907,SMNb
DANb,25,0.260,0.289,0.242,0.264,SMNb-DANb,-0.259729214,-0.288580753,-0.242199563,SMNb
LMN,26,0.315,0.382,0.467,0.388,SMNb-LMN,-0.314648259,-0.382285955,-0.466908896,SMNb
SVNa,27,0.258,0.180,0.241,0.227,SMNb-SVNa,-0.258449389,-0.179866283,-0.241384155,SMNb
SVNb,28,0.019,0.028,0.025,0.024,SMNb-SVNb,-0.018549987,-0.028097407,-0.024907556,SMNb
SMNa,29,0.492,0.524,0.517,0.511,SMNb-SMNa,-0.491718707,-0.52374746,-0.517155648,SMNb
SMNb,30,0.382,0.350,0.512,0.415,SMNb-SMNb,-0.3822648,-0.349604729,-0.512071645,SMNb
TempPar,31,0.427,0.177,0.413,0.339,SMNb-TempPar,-0.427032471,-0.176624281,-0.41296696,SMNb
VSNc,32,0.230,0.122,0.120,0.157,SMNb-VSNc,-0.229576444,-0.121956744,-0.120106624,SMNb
VSNp,33,0.427,0.376,0.403,0.402,SMNb-VSNp,-0.426984455,-0.376259994,-0.402959018,SMNb
Subcortical,34,0.151,0.235,0.177,0.188,SMNb-Subcortical,-0.150979378,-0.234738885,-0.177027312,SMNb
