Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.003,0.007,0.099,0.037,SVNa-CONa,0.00349714,-0.007238807,-0.09882412,SVNa
CONb,2,0.125,0.049,0.064,0.079,SVNa-CONb,-0.124653448,0.048761547,-0.064096237,SVNa
CONc,3,0.080,0.093,0.101,0.091,SVNa-CONc,-0.079652142,0.092788128,-0.101033893,SVNa
DMNa,4,0.274,0.096,0.176,0.182,SVNa-DMNa,-0.273675432,0.096074939,-0.175588718,SVNa
DMNb,5,0.258,0.017,0.200,0.158,SVNa-DMNb,-0.257968768,-0.017361315,-0.199707655,SVNa
DMNc,6,0.157,0.050,0.196,0.134,SVNa-DMNc,-0.156792885,-0.050083478,-0.195591297,SVNa
DANa,7,0.137,0.084,0.220,0.147,SVNa-DANa,-0.137423175,-0.084186145,-0.220283153,SVNa
DANb,8,0.128,0.206,0.108,0.147,SVNa-DANb,-0.127582645,-0.206315848,-0.108335449,SVNa
LMN,9,0.299,0.323,0.419,0.347,SVNa-LMN,-0.298624444,-0.32275377,-0.418876856,SVNa
SVNa,10,0.201,0.373,0.340,0.304,SVNa-SVNa,-0.200892974,-0.372887276,-0.339591448,SVNa
SVNb,11,0.061,0.172,0.099,0.111,SVNa-SVNb,-0.061270211,-0.171541192,-0.09946678,SVNa
SMNa,12,0.284,0.186,0.148,0.206,SVNa-SMNa,-0.284182133,-0.186273698,-0.148325373,SVNa
SMNb,13,0.258,0.180,0.241,0.227,SVNa-SMNb,-0.258449389,-0.179866283,-0.241384155,SVNa
TempPar,14,0.165,0.066,0.173,0.135,SVNa-TempPar,-0.165150591,-0.065597221,-0.173215918,SVNa
VSNc,15,0.198,0.031,0.098,0.109,SVNa-VSNc,-0.197765846,-0.030965016,-0.09780024,SVNa
VSNp,16,0.325,0.085,0.163,0.191,SVNa-VSNp,-0.32489161,-0.084641653,-0.163414075,SVNa
Subcortical,17,0.112,0.146,0.137,0.132,SVNa-Subcortical,-0.111864595,-0.14616713,-0.137058014,SVNa
CONa,18,0.014,0.028,0.024,0.022,SVNb-CONa,-0.01391646,0.028115851,-0.023601853,SVNb
CONb,19,0.140,0.000,0.087,0.076,SVNb-CONb,-0.140271607,0.000344378,-0.087131669,SVNb
CONc,20,0.035,0.089,0.068,0.064,SVNb-CONc,-0.035420602,0.089369059,-0.068353078,SVNb
DMNa,21,0.219,0.109,0.156,0.161,SVNb-DMNa,-0.218821716,0.108748522,-0.156387157,SVNb
DMNb,22,0.222,0.047,0.178,0.149,SVNb-DMNb,-0.221631144,-0.04746589,-0.177822918,SVNb
DMNc,23,0.056,0.103,0.050,0.069,SVNb-DMNc,-0.055582103,0.10278739,-0.04983705,SVNb
DANa,24,0.076,0.022,0.051,0.050,SVNb-DANa,-0.075506704,0.022136149,-0.051396545,SVNb
DANb,25,0.029,0.042,0.045,0.039,SVNb-DANb,-0.029367883,-0.041696137,0.045056133,SVNb
LMN,26,0.131,0.136,0.259,0.176,SVNb-LMN,-0.131374177,-0.136368429,-0.258823256,SVNb
SVNa,27,0.061,0.172,0.099,0.111,SVNb-SVNa,-0.061270211,-0.171541192,-0.09946678,SVNb
SVNb,28,0.078,0.217,0.182,0.159,SVNb-SVNb,-0.077582581,-0.217361405,-0.181767333,SVNb
SMNa,29,0.046,0.009,0.160,0.071,SVNb-SMNa,0.045729619,0.008516218,0.160186062,SVNb
SMNb,30,0.019,0.028,0.025,0.024,SVNb-SMNb,-0.018549987,-0.028097407,-0.024907556,SVNb
TempPar,31,0.060,0.007,0.052,0.040,SVNb-TempPar,-0.059764847,-0.0070644,-0.052279655,SVNb
VSNc,32,0.081,0.035,0.071,0.062,SVNb-VSNc,-0.080993807,-0.035374244,-0.071102044,SVNb
VSNp,33,0.088,0.008,0.005,0.034,SVNb-VSNp,-0.088255974,0.008427343,0.004666639,SVNb
Subcortical,34,0.008,0.032,0.063,0.035,SVNb-Subcortical,-0.008192443,-0.031901109,-0.063488426,SVNb
