Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.069,0.055,0.173,0.099,TempPar-CONa,-0.068515261,-0.054611858,-0.173145983,TempPar
CONb,2,0.099,0.053,0.117,0.090,TempPar-CONb,-0.099419772,-0.053419577,-0.116596713,TempPar
CONc,3,0.121,0.038,0.150,0.103,TempPar-CONc,-0.120687687,0.037536405,-0.150233359,TempPar
DMNa,4,0.198,0.029,0.157,0.128,TempPar-DMNa,-0.197772932,0.028514677,-0.157144308,TempPar
DMNb,5,0.172,0.108,0.184,0.155,TempPar-DMNb,-0.172486192,-0.107728516,-0.183518354,TempPar
DMNc,6,0.234,0.179,0.342,0.251,TempPar-DMNc,-0.233667425,-0.178700236,-0.341984745,TempPar
DANa,7,0.146,0.031,0.239,0.138,TempPar-DANa,-0.145673797,-0.030528987,-0.239274397,TempPar
DANb,8,0.129,0.120,0.216,0.155,TempPar-DANb,-0.129142126,-0.119851163,-0.215595611,TempPar
LMN,9,0.158,0.256,0.490,0.302,TempPar-LMN,-0.158206023,-0.256226559,-0.490295651,TempPar
SVNa,10,0.165,0.066,0.173,0.135,TempPar-SVNa,-0.165150591,-0.065597221,-0.173215918,TempPar
SVNb,11,0.060,0.007,0.052,0.040,TempPar-SVNb,-0.059764847,-0.0070644,-0.052279655,TempPar
SMNa,12,0.403,0.232,0.372,0.336,TempPar-SMNa,-0.403104531,-0.231542709,-0.371976604,TempPar
SMNb,13,0.427,0.177,0.413,0.339,TempPar-SMNb,-0.427032471,-0.176624281,-0.41296696,TempPar
TempPar,14,0.271,0.139,0.157,0.189,TempPar-TempPar,-0.270648411,-0.139276061,-0.157365881,TempPar
VSNc,15,0.165,0.123,0.138,0.142,TempPar-VSNc,-0.165002035,-0.12277378,-0.138224603,TempPar
VSNp,16,0.408,0.265,0.327,0.333,TempPar-VSNp,-0.408410559,-0.264815696,-0.326741564,TempPar
Subcortical,17,0.092,0.191,0.189,0.157,TempPar-Subcortical,-0.09162792,-0.191334696,-0.188519927,TempPar
