Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,
CONa,1,0.039,0.087,0.091,0.072,VSNc-CONa,-0.038708025,-0.08675057,-0.090775603,VSNc
CONb,2,0.005,0.076,0.031,0.037,VSNc-CONb,0.004969942,-0.075668352,-0.031366361,VSNc
CONc,3,0.050,0.076,0.035,0.054,VSNc-CONc,-0.04992028,-0.075841172,-0.035384105,VSNc
DMNa,4,0.078,0.056,0.008,0.048,VSNc-DMNa,0.07825189,-0.056081215,-0.008497461,VSNc
DMNb,5,0.037,0.129,0.104,0.090,VSNc-DMNb,-0.037216907,-0.129050553,-0.104314873,VSNc
DMNc,6,0.011,0.071,0.053,0.045,VSNc-DMNc,0.010623913,-0.071291137,-0.053328513,VSNc
DANa,7,0.064,0.023,0.050,0.046,VSNc-DANa,-0.063505234,-0.023272289,-0.050433203,VSNc
DANb,8,0.040,0.015,0.010,0.022,VSNc-DANb,-0.04031202,0.015215019,-0.010061273,VSNc
LMN,9,0.189,0.242,0.205,0.212,VSNc-LMN,-0.189292394,-0.242487628,-0.205211069,VSNc
SVNa,10,0.198,0.031,0.098,0.109,VSNc-SVNa,-0.197765846,-0.030965016,-0.09780024,VSNc
SVNb,11,0.081,0.035,0.071,0.062,VSNc-SVNb,-0.080993807,-0.035374244,-0.071102044,VSNc
SMNa,12,0.064,0.070,0.047,0.060,VSNc-SMNa,-0.064080344,0.06971704,0.046830904,VSNc
SMNb,13,0.230,0.122,0.120,0.157,VSNc-SMNb,-0.229576444,-0.121956744,-0.120106624,VSNc
TempPar,14,0.165,0.123,0.138,0.142,VSNc-TempPar,-0.165002035,-0.12277378,-0.138224603,VSNc
VSNc,15,0.027,0.046,0.162,0.078,VSNc-VSNc,0.027415437,0.045525014,0.161589192,VSNc
VSNp,16,0.083,0.036,0.125,0.081,VSNc-VSNp,0.083249378,-0.035952246,0.125282185,VSNc
Subcortical,17,0.017,0.114,0.050,0.060,VSNc-Subcortical,0.016768892,-0.113682105,-0.049663475,VSNc
CONa,18,0.037,0.111,0.049,0.066,VSNp-CONa,-0.036912973,-0.111203581,-0.048803532,VSNp
CONb,19,0.033,0.044,0.143,0.073,VSNp-CONb,0.033199937,-0.043906527,0.14276542,VSNp
CONc,20,0.123,0.042,0.071,0.079,VSNp-CONc,0.122987053,-0.041669751,0.070953101,VSNp
DMNa,21,0.207,0.051,0.065,0.108,VSNp-DMNa,0.206845287,-0.050636811,0.065295184,VSNp
DMNb,22,0.021,0.122,0.039,0.061,VSNp-DMNb,0.02078693,-0.122485799,-0.039089314,VSNp
DMNc,23,0.029,0.178,0.098,0.102,VSNp-DMNc,0.028824794,-0.177780977,-0.098212345,VSNp
DANa,24,0.154,0.190,0.150,0.165,VSNp-DANa,-0.154152941,-0.189877712,-0.150300519,VSNp
DANb,25,0.225,0.160,0.152,0.179,VSNp-DANb,-0.22521947,-0.159980602,-0.152375731,VSNp
LMN,26,0.019,0.151,0.157,0.109,VSNp-LMN,-0.019125883,-0.151444601,-0.157225242,VSNp
SVNa,27,0.325,0.085,0.163,0.191,VSNp-SVNa,-0.32489161,-0.084641653,-0.163414075,VSNp
SVNb,28,0.088,0.008,0.005,0.034,VSNp-SVNb,-0.088255974,0.008427343,0.004666639,VSNp
SMNa,29,0.270,0.226,0.191,0.229,VSNp-SMNa,-0.269867992,-0.225820115,-0.19121354,VSNp
SMNb,30,0.427,0.376,0.403,0.402,VSNp-SMNb,-0.426984455,-0.376259994,-0.402959018,VSNp
TempPar,31,0.408,0.265,0.327,0.333,VSNp-TempPar,-0.408410559,-0.264815696,-0.326741564,VSNp
VSNc,32,0.083,0.036,0.125,0.081,VSNp-VSNc,0.083249378,-0.035952246,0.125282185,VSNp
VSNp,33,0.055,0.280,0.147,0.160,VSNp-VSNp,-0.054842636,-0.279511856,-0.147043182,VSNp
Subcortical,34,0.021,0.144,0.076,0.080,VSNp-Subcortical,0.02105033,-0.143569035,-0.075722367,VSNp
