Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,SigNum,MetaES
,1,0.250,0.030,0.189,0.001,Lt_CONa_Temp-Lt_CONa_IPS,0.250348544,0.029666176,-0.188995295,0,0.029383814
,2,0.105,0.088,0.100,0.001,Lt_CONa_Temp-Lt_CONa_PFCd,0.105317374,0.088293355,0.099873591,0,0.09697292
,3,0.251,0.036,0.059,0.001,Lt_CONa_Temp-Lt_CONa_PFCl,0.251259571,0.036154342,-0.059144142,0,0.075187698
,4,0.188,0.037,0.124,0.001,Lt_CONa_Temp-Lt_CONa_PFClv,0.188469692,-0.037345851,-0.123976429,0,0.008355607
,5,0.343,0.087,0.099,0.001,Lt_CONa_Temp-Lt_CONa_Cinga,0.342688763,0.086632507,0.098559728,0,0.175116315
,6,0.293,0.228,0.161,0.001,Lt_CONa_Temp-Lt_CONb_Temp,0.2926987,-0.228188444,-0.161066942,0,-0.032615631
,7,0.038,0.005,0.158,0.001,Lt_CONa_Temp-Lt_CONb_IPL,-0.038343808,0.004758694,-0.15788767,0,-0.06521035
,8,0.263,0.033,0.104,0.001,Lt_CONa_Temp-Lt_CONb_PFCd,0.262613758,-0.033349427,-0.104246674,0,0.041290516
,9,0.090,0.088,0.049,0.001,Lt_CONa_Temp-Lt_CONb_PFCl,-0.090342024,-0.087611082,0.049036428,0,-0.041474213
,10,0.330,0.334,0.332,0.001,Lt_CONa_Temp-Lt_CONb_PFClv,-0.330135091,-0.334068661,-0.331700074,0,-0.332114541
,11,0.034,0.158,0.215,0.001,Lt_CONa_Temp-Lt_CONb_PFCmp,-0.034420356,-0.158245016,-0.214906427,0,-0.138305277
,12,0.009,0.076,0.255,0.001,Lt_CONa_Temp-Lt_CONc_pCun,-0.008789091,0.076224278,-0.254927042,0,-0.063157638
,13,0.140,0.138,0.108,0.001,Lt_CONa_Temp-Lt_CONc_Cingp,-0.139550181,0.138205808,-0.107683331,0,-0.03597149
,14,0.413,0.005,0.019,0.001,Lt_CONa_Temp-Rt_CONa_Temp,0.412575185,-0.004983902,-0.019108305,0,0.128820923
